tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,closest,days_bt_x_and_y,winner_rank,winner_points,loser_rank,loser_points
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,106421,Daniil Medvedev,RUS,2018-12-31,0 days,9.0,3590.0,16.0,1977.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,106421,Daniil Medvedev,RUS,2018-12-31,0 days,9.0,3590.0,16.0,1977.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,106421,Daniil Medvedev,RUS,2018-12-31,0 days,9.0,3590.0,16.0,1977.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,106421,Daniil Medvedev,RUS,2018-12-31,0 days,9.0,3590.0,16.0,1977.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104542,Jo-Wilfried Tsonga,FRA,2018-12-31,0 days,16.0,1977.0,239.0,200.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104542,Jo-Wilfried Tsonga,FRA,2018-12-31,0 days,16.0,1977.0,239.0,200.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104542,Jo-Wilfried Tsonga,FRA,2018-12-31,0 days,16.0,1977.0,239.0,200.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104542,Jo-Wilfried Tsonga,FRA,2018-12-31,0 days,16.0,1977.0,239.0,200.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,104871,Jeremy Chardy,FRA,2018-12-31,0 days,9.0,3590.0,40.0,1050.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,104871,Jeremy Chardy,FRA,2018-12-31,0 days,9.0,3590.0,40.0,1050.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,104871,Jeremy Chardy,FRA,2018-12-31,0 days,9.0,3590.0,40.0,1050.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,104871,Jeremy Chardy,FRA,2018-12-31,0 days,9.0,3590.0,40.0,1050.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,200282,Alex De Minaur,AUS,2018-12-31,0 days,239.0,200.0,31.0,1298.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,200282,Alex De Minaur,AUS,2018-12-31,0 days,239.0,200.0,31.0,1298.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,200282,Alex De Minaur,AUS,2018-12-31,0 days,239.0,200.0,31.0,1298.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,200282,Alex De Minaur,AUS,2018-12-31,0 days,239.0,200.0,31.0,1298.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,105683,Milos Raonic,CAN,2018-12-31,0 days,16.0,1977.0,18.0,1855.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,105683,Milos Raonic,CAN,2018-12-31,0 days,16.0,1977.0,18.0,1855.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,105683,Milos Raonic,CAN,2018-12-31,0 days,16.0,1977.0,18.0,1855.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,105683,Milos Raonic,CAN,2018-12-31,0 days,16.0,1977.0,18.0,1855.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106034,Yasutaka Uchiyama,JPN,2018-12-31,0 days,40.0,1050.0,185.0,275.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106034,Yasutaka Uchiyama,JPN,2018-12-31,0 days,40.0,1050.0,185.0,275.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106034,Yasutaka Uchiyama,JPN,2018-12-31,0 days,40.0,1050.0,185.0,275.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106034,Yasutaka Uchiyama,JPN,2018-12-31,0 days,40.0,1050.0,185.0,275.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,105777,Grigor Dimitrov,BUL,2018-12-31,0 days,9.0,3590.0,19.0,1835.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,105777,Grigor Dimitrov,BUL,2018-12-31,0 days,9.0,3590.0,19.0,1835.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,105777,Grigor Dimitrov,BUL,2018-12-31,0 days,9.0,3590.0,19.0,1835.0
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,105777,Grigor Dimitrov,BUL,2018-12-31,0 days,9.0,3590.0,19.0,1835.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,106121,Taro Daniel,JPN,2018-12-31,0 days,239.0,200.0,77.0,691.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,106121,Taro Daniel,JPN,2018-12-31,0 days,239.0,200.0,77.0,691.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,106121,Taro Daniel,JPN,2018-12-31,0 days,239.0,200.0,77.0,691.0
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,106121,Taro Daniel,JPN,2018-12-31,0 days,239.0,200.0,77.0,691.0
Brisbane,Hard,A,2018-12-31,200282,Alex De Minaur,AUS,111442,Jordan Thompson,AUS,2018-12-31,0 days,31.0,1298.0,72.0,715.0
Brisbane,Hard,A,2018-12-31,200282,Alex De Minaur,AUS,111442,Jordan Thompson,AUS,2018-12-31,0 days,31.0,1298.0,72.0,715.0
Brisbane,Hard,A,2018-12-31,200282,Alex De Minaur,AUS,111442,Jordan Thompson,AUS,2018-12-31,0 days,31.0,1298.0,72.0,715.0
Brisbane,Hard,A,2018-12-31,200282,Alex De Minaur,AUS,111442,Jordan Thompson,AUS,2018-12-31,0 days,31.0,1298.0,72.0,715.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104918,Andy Murray,GBR,2018-12-31,0 days,16.0,1977.0,240.0,200.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104918,Andy Murray,GBR,2018-12-31,0 days,16.0,1977.0,240.0,200.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104918,Andy Murray,GBR,2018-12-31,0 days,16.0,1977.0,240.0,200.0
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104918,Andy Murray,GBR,2018-12-31,0 days,16.0,1977.0,240.0,200.0
Brisbane,Hard,A,2018-12-31,105683,Milos Raonic,CAN,200175,Miomir Kecmanovic,SRB,2018-12-31,0 days,18.0,1855.0,131.0,433.0
Brisbane,Hard,A,2018-12-31,105683,Milos Raonic,CAN,200175,Miomir Kecmanovic,SRB,2018-12-31,0 days,18.0,1855.0,131.0,433.0
Brisbane,Hard,A,2018-12-31,105683,Milos Raonic,CAN,200175,Miomir Kecmanovic,SRB,2018-12-31,0 days,18.0,1855.0,131.0,433.0
Brisbane,Hard,A,2018-12-31,105683,Milos Raonic,CAN,200175,Miomir Kecmanovic,SRB,2018-12-31,0 days,18.0,1855.0,131.0,433.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106401,Nick Kyrgios,AUS,2018-12-31,0 days,40.0,1050.0,35.0,1125.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106401,Nick Kyrgios,AUS,2018-12-31,0 days,40.0,1050.0,35.0,1125.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106401,Nick Kyrgios,AUS,2018-12-31,0 days,40.0,1050.0,35.0,1125.0
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106401,Nick Kyrgios,AUS,2018-12-31,0 days,40.0,1050.0,35.0,1125.0
Brisbane,Hard,A,2018-12-31,106034,Yasutaka Uchiyama,JPN,106378,Kyle Edmund,GBR,2018-12-31,0 days,185.0,275.0,14.0,2150.0
Brisbane,Hard,A,2018-12-31,106034,Yasutaka Uchiyama,JPN,106378,Kyle Edmund,GBR,2018-12-31,0 days,185.0,275.0,14.0,2150.0
