id,name,state,rank,points
126609,Patrik Niklas Salminen,FIN,496,60
105349,Harri Heliovaara,FIN,608,37
105493,Tomislav Brkic,BIH,548,47
105011,Illya Marchenko,UKR,256,180
122548,Edan Leshem,ISR,387,94
131951,Daniel Cukierman,ISR,853,15
209238,Sebastian Dominguez,GUA,0,0
132932,Franz Luna Lavidalie,GUA,0,0
137018,Ayed Zatar,PAR,0,0
134677,Juan Borba,PAR,0,0
209226,Adolfo Daniel Vallejo,PAR,0,0
108763,Alberto Emmanuel Alvarado Larin,ESA,0,0
208476,Kyle Johnson,USA,0,0
207134,Fitriadi M Rifqi,INA,0,0
105812,David Agung Susanto,INA,1357,3
106150,Jeson Patrombon,PHI,1419,2
202165,Alberto Lim,PHI,0,0
208937,Kasidit Samrej,THA,1051,8
208597,Chak Lam Coleman Wong,HKG,0,0
106388,Pak Long Yeung,HKG,1060,8
207852,Wai Yu Kai,HKG,0,0
144841,Christian Sigsgaard,DEN,0,0
105747,Karim Mohamed Maamoun,EGY,350,110
125842,Adam Moundir,SUI,454,69
144760,Amine Ahouda,MAR,1581,1
126340,Viktor Durasovic,NOR,332,117
106106,George Tsivadze,GEO,860,15
105626,Takanyi Garanganga,ZIM,512,55
200250,Mehluli Don Ayanda Sibanda,ZIM,826,17
105434,Ruan Roelofse,RSA,669,30
126328,Gabriel Donev,BUL,989,10
123983,Nerman Fatic,BIH,365,102
105963,Arthur De Greef,BEL,292,138
106110,Filip Horansky,SVK,171,299
208103,Jiri Lehecka,CZE,623,35
200436,Zsombor Piros,HUN,424,79
105954,Peter Nagy,HUN,550,47
121896,Gabor Borsos,HUN,1204,5
200343,David Szintai,HUN,1557,2
200059,Yibing Wu,CHN,854,15
