date,rank,id,points,name,state
2018-01-01,1,104745,10645,Rafael Nadal,ESP
2018-01-08,1,104745,10600,Rafael Nadal,ESP
2018-01-15,1,104745,10600,Rafael Nadal,ESP
2018-01-29,1,104745,9760,Rafael Nadal,ESP
2018-02-05,1,104745,9760,Rafael Nadal,ESP
2018-02-12,1,104745,9760,Rafael Nadal,ESP
2018-02-19,2,104745,9760,Rafael Nadal,ESP
2018-02-26,2,104745,9760,Rafael Nadal,ESP
2018-03-05,2,104745,9460,Rafael Nadal,ESP
2018-03-19,2,104745,9370,Rafael Nadal,ESP
2018-04-02,1,104745,8770,Rafael Nadal,ESP
2018-04-09,1,104745,8770,Rafael Nadal,ESP
2018-04-16,1,104745,8770,Rafael Nadal,ESP
2018-04-23,1,104745,8770,Rafael Nadal,ESP
2018-04-30,1,104745,8770,Rafael Nadal,ESP
2018-05-07,1,104745,8770,Rafael Nadal,ESP
2018-05-14,2,104745,7950,Rafael Nadal,ESP
2018-05-21,1,104745,8770,Rafael Nadal,ESP
2018-05-28,1,104745,8770,Rafael Nadal,ESP
2018-06-11,1,104745,8770,Rafael Nadal,ESP
2018-06-18,2,104745,8770,Rafael Nadal,ESP
2018-06-25,1,104745,8770,Rafael Nadal,ESP
2018-07-02,1,104745,8770,Rafael Nadal,ESP
2018-07-16,1,104745,9310,Rafael Nadal,ESP
2018-07-23,1,104745,9310,Rafael Nadal,ESP
2018-07-30,1,104745,9310,Rafael Nadal,ESP
2018-08-06,1,104745,9310,Rafael Nadal,ESP
2018-08-13,1,104745,10220,Rafael Nadal,ESP
2018-08-20,1,104745,10040,Rafael Nadal,ESP
2018-08-27,1,104745,10040,Rafael Nadal,ESP
2018-09-10,1,104745,8760,Rafael Nadal,ESP
2018-09-17,1,104745,8760,Rafael Nadal,ESP
2018-09-24,1,104745,8760,Rafael Nadal,ESP
2018-10-01,1,104745,8760,Rafael Nadal,ESP
2018-10-08,1,104745,8260,Rafael Nadal,ESP
2018-10-15,1,104745,7660,Rafael Nadal,ESP
2018-10-22,1,104745,7660,Rafael Nadal,ESP
2018-10-29,1,104745,7660,Rafael Nadal,ESP
2018-11-05,2,104745,7480,Rafael Nadal,ESP
2018-11-12,2,104745,7480,Rafael Nadal,ESP
2018-11-19,2,104745,7480,Rafael Nadal,ESP
2018-11-26,2,104745,7480,Rafael Nadal,ESP
2018-12-03,2,104745,7480,Rafael Nadal,ESP
2018-12-10,2,104745,7480,Rafael Nadal,ESP
2018-12-17,2,104745,7480,Rafael Nadal,ESP
2018-12-24,2,104745,7480,Rafael Nadal,ESP
2018-12-31,2,104745,7480,Rafael Nadal,ESP
2018-12-31,2,104745,7480,Rafael Nadal,ESP
2018-01-01,2,103819,9605,Roger Federer,SUI
2018-01-08,2,103819,9605,Roger Federer,SUI
2018-01-15,2,103819,9605,Roger Federer,SUI
2018-01-29,2,103819,9605,Roger Federer,SUI
2018-02-05,2,103819,9605,Roger Federer,SUI
2018-02-12,2,103819,9605,Roger Federer,SUI
2018-02-19,1,103819,10105,Roger Federer,SUI
2018-02-26,1,103819,10105,Roger Federer,SUI
2018-03-05,1,103819,10060,Roger Federer,SUI
2018-03-19,1,103819,9660,Roger Federer,SUI
2018-04-02,2,103819,8670,Roger Federer,SUI
2018-04-09,2,103819,8670,Roger Federer,SUI
2018-04-16,2,103819,8670,Roger Federer,SUI
2018-04-23,2,103819,8670,Roger Federer,SUI
2018-04-30,2,103819,8670,Roger Federer,SUI
2018-05-07,2,103819,8670,Roger Federer,SUI
2018-05-14,1,103819,8670,Roger Federer,SUI
2018-05-21,2,103819,8670,Roger Federer,SUI
2018-05-28,2,103819,8670,Roger Federer,SUI
2018-06-11,2,103819,8670,Roger Federer,SUI
2018-06-18,1,103819,8920,Roger Federer,SUI
2018-06-25,2,103819,8720,Roger Federer,SUI
2018-07-02,2,103819,8720,Roger Federer,SUI
2018-07-16,2,103819,7080,Roger Federer,SUI
2018-07-23,2,103819,7080,Roger Federer,SUI
2018-07-30,2,103819,7080,Roger Federer,SUI
2018-08-06,2,103819,7080,Roger Federer,SUI
2018-08-13,2,103819,6480,Roger Federer,SUI
2018-08-20,2,103819,7080,Roger Federer,SUI
2018-08-27,2,103819,7080,Roger Federer,SUI
2018-09-10,2,103819,6900,Roger Federer,SUI
2018-09-17,2,103819,6900,Roger Federer,SUI
2018-09-24,2,103819,6900,Roger Federer,SUI
2018-10-01,2,103819,6900,Roger Federer,SUI
2018-10-08,2,103819,6900,Roger Federer,SUI
2018-10-15,3,103819,6260,Roger Federer,SUI
2018-10-22,3,103819,6260,Roger Federer,SUI
2018-10-29,3,103819,6260,Roger Federer,SUI
2018-11-05,3,103819,6020,Roger Federer,SUI
2018-11-12,3,103819,6020,Roger Federer,SUI
2018-11-19,3,103819,6420,Roger Federer,SUI
2018-11-26,3,103819,6420,Roger Federer,SUI
2018-12-03,3,103819,6420,Roger Federer,SUI
2018-12-10,3,103819,6420,Roger Federer,SUI
2018-12-17,3,103819,6420,Roger Federer,SUI
2018-12-24,3,103819,6420,Roger Federer,SUI
2018-12-31,3,103819,6420,Roger Federer,SUI
2018-12-31,3,103819,6420,Roger Federer,SUI
2018-01-01,3,105777,5150,Grigor Dimitrov,BUL
