id,name,state,rank,points
104925,Novak Djokovic,SRB,1,12030
105138,Roberto Bautista Agut,ESP,13,2710
105583,Dusan Lajovic,SRB,26,1785
104745,Rafael Nadal,ESP,2,9850
106421,Daniil Medvedev,RUS,4,8470
111575,Karen Khachanov,RUS,20,2245
105554,Daniel Evans,GBR,32,1589
106401,Nick Kyrgios,AUS,45,1170
105676,David Goffin,BEL,15,2555
105332,Benoit Paire,FRA,28,1738
104731,Kevin Anderson,RSA,81,825
104468,Gilles Simon,FRA,63,1005
104792,Gael Monfils,FRA,11,2860
144750,Lloyd Harris,RSA,87,793
106415,Yoshihito Nishioka,JPN,56,1062
104424,Go Soeda,JPN,133,490
105932,Nikoloz Basilashvili,GEO,40,1395
106223,Aleksandre Metreveli,GEO,593,44
104327,Steve Darcis,BEL,273,196
106220,Dimitar Kuzmanov,BUL,295,166
105777,Grigor Dimitrov,BUL,19,2260
111815,Cameron Norrie,GBR,71,877
104926,Fabio Fognini,ITA,17,2400
105882,Stefano Travaglia,ITA,74,869
134770,Casper Ruud,NOR,27,1739
126203,Taylor Fritz,USA,29,1670
106432,Borna Coric,CRO,24,1855
105227,Marin Cilic,CRO,42,1325
106233,Dominic Thiem,AUT,3,9125
110602,Dennis Novak,AUT,96,737
128034,Hubert Hurkacz,POL,34,1518
200390,Kacper Zuk,POL,262,209
106043,Diego Schwartzman,ARG,9,3455
105550,Guido Pella,ARG,43,1310
126774,Stefanos Tsitsipas,GRE,6,5925
105526,Jan Lennard Struff,GER,36,1450
133430,Denis Shapovalov,CAN,12,2830
200282,Alex De Minaur,AUS,23,1860
200000,Felix Auger Aliassime,CAN,21,2216
105357,John Millman,AUS,38,1421
126094,Andrey Rublev,RUS,8,4119
144895,Corentin Moutet,FRA,77,838
104527,Stan Wawrinka,SUI,18,2320
200175,Miomir Kecmanovic,SRB,44,1308
105379,Aljaz Bedene,SLO,58,1045
104269,Fernando Verdasco,ESP,65,975
105916,Marton Fucsovics,HUN,55,1062
105732,Pierre Hugues Herbert,FRA,83,812
104871,Jeremy Chardy,FRA,75,860
122330,Alexander Bublik,KAZ,50,1070
105936,Filip Krajinovic,SRB,31,1628
117356,Cem Ilkel,TUR,219,260
111513,Laslo Djere,SRB,57,1058
105062,Mikhail Kukushkin,KAZ,89,776
126205,Tommy Paul,USA,54,1065
105077,Albert Ramos,ESP,46,1165
105807,Pablo Carreno Busta,ESP,16,2535
106109,Alex Bolt,AUS,171,380
104655,Pablo Cuevas,URU,67,917
105023,Sam Querrey,USA,53,1065
105902,James Duckworth,AUS,103,701
200005,Ugo Humbert,FRA,30,1646
104545,John Isner,USA,25,1850
103852,Feliciano Lopez,ESP,64,998
106378,Kyle Edmund,GBR,48,1085
144707,Mikael Ymer,SWE,94,763
106329,Thiago Monteiro,BRA,84,804
104312,Andreas Seppi,ITA,106,689
105815,Tennys Sandgren,USA,49,1081
106065,Marco Cecchinato,ITA,80,828
105577,Vasek Pospisil,CAN,61,1006
105643,Federico Delbonis,ARG,82,825
105376,Peter Gojowczyk,GER,145,454
103333,Ivo Karlovic,CRO,147,444
105208,Ernests Gulbis,LAT,181,351
124079,Pedro Martinez,ESP,85,800
144719,Jaume Munar,ESP,110,646
200615,Alexei Popyrin,AUS,113,623
126214,Alejandro Tabilo,CHI,169,382
105216,Yuichi Sugita,JPN,102,713
106078,Egor Gerasimov,BLR,78,834
100644,Alexander Zverev,GER,7,5525
126610,Matteo Berrettini,ITA,10,3075
105575,Ricardas Berankis,LTU,69,889
106296,Gregoire Barrere,FRA,109,647
111442,Jordan Thompson,AUS,51,1068
206173,Jannik Sinner,ITA,37,1444
103819,Roger Federer,SUI,5,6630
104259,Philipp Kohlschreiber,GER,98,729
106426,Christian Garin,CHI,22,2170
105683,Milos Raonic,CAN,14,2580
111581,Michael Mmoh,USA,174,368
200221,Alejandro Davidovich Fokina,ESP,52,1066
117360,Marc Polmans,AUS,124,539
105147,Tatsuma Ito,JPN,186,342
105413,Andrej Martin,SVK,101,724
106228,Juan Ignacio Londero,ARG,79,832
104665,Pablo Andujar,ESP,60,1024
106398,Pedro Cachin,ARG,368,111
126149,Gianluca Mager,ITA,100,725
105226,Attila Balazs,HUN,92,774
126535,Carlos Taberner,ESP,143,457
105613,Norbert Gombos,SVK,88,789
104755,Richard Gasquet,FRA,47,1145
105173,Adrian Mannarino,FRA,35,1516
200325,Emil Ruusuvuori,FIN,86,796
106210,Jiri Vesely,CZE,68,913
105406,Roberto Marcora,ITA,180,352
126952,Soon Woo Kwon,KOR,95,752
125802,Ilya Ivashka,BLR,108,674
106121,Taro Daniel,JPN,117,581
105432,Prajnesh Gunneswaran,IND,129,506
110748,Nikola Milojevic,SRB,138,472
106099,Salvatore Caruso,ITA,76,843
104678,Viktor Troicki,SRB,201,323
105649,Cedrik Marcel Stebe,GER,126,529
105155,Pedro Sousa,POR,105,691
106075,Jozef Kovalik,SVK,131,498
106148,Roberto Carballes Baena,ESP,97,731
105487,Facundo Bagnis,ARG,125,531
105359,Jason Jung,TPE,132,490
124187,Reilly Opelka,USA,39,1402
105449,Steve Johnson,USA,72,870
103893,Paolo Lorenzi,ITA,146,450
106218,Marcos Giron,USA,73,869
136440,Dominik Koepfer,GER,66,921
126207,Frances Tiafoe,USA,59,1030
206909,Brandon Nakashima,USA,166,387
111511,Noah Rubin,USA,250,219
105992,Ryan Harrison,USA,478,73
111456,Mackenzie McDonald,USA,193,335
106058,Jack Sock,USA,253,217
105948,Federico Coria,ARG,91,775
132283,Lorenzo Sonego,ITA,33,1568
