tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,winner_rank,winner_points,loser_rank,loser_points
Doha,Hard,A,2018-12-31,105583,Dusan Lajovic,SRB,105173,Adrian Mannarino,FRA,34,1296,43,1111
Doha,Hard,A,2018-12-31,105550,Guido Pella,ARG,117356,Cem Ilkel,TUR,25,1530,283,144
Doha,Hard,A,2018-12-31,106065,Marco Cecchinato,ITA,104660,Sergiy Stakhovsky,UKR,71,780,150,350
Doha,Hard,A,2018-12-31,104269,Fernando Verdasco,ESP,103893,Paolo Lorenzi,ITA,49,1025,115,480
Doha,Hard,A,2018-12-31,104607,Tomas Berdych,CZE,104259,Philipp Kohlschreiber,GER,0,0,79,665
Doha,Hard,A,2018-12-31,109739,Maximilian Marterer,GER,105376,Peter Gojowczyk,GER,239,198,117,473
Doha,Hard,A,2018-12-31,105732,Pierre Hugues Herbert,FRA,106233,Dominic Thiem,AUT,65,865,4,5825
Pune,Hard,A,2018-12-31,104731,Kevin Anderson,RSA,103333,Ivo Karlovic,CRO,91,610,95,586
Pune,Hard,A,2018-12-31,104731,Kevin Anderson,RSA,104468,Gilles Simon,FRA,91,610,55,955
Pune,Hard,A,2018-12-31,103333,Ivo Karlovic,CRO,104327,Steve Darcis,BEL,95,586,157,332
Pune,Hard,A,2018-12-31,104731,Kevin Anderson,RSA,144719,Jaume Munar,ESP,91,610,86,628
Pune,Hard,A,2018-12-31,104468,Gilles Simon,FRA,105332,Benoit Paire,FRA,55,955,24,1538
Pune,Hard,A,2018-12-31,104327,Steve Darcis,BEL,104291,Malek Jaziri,TUN,157,332,201,251
Pune,Hard,A,2018-12-31,103333,Ivo Karlovic,CRO,105208,Ernests Gulbis,LAT,95,586,226,216
Pune,Hard,A,2018-12-31,104731,Kevin Anderson,RSA,111513,Laslo Djere,SRB,91,610,38,1171
Pune,Hard,A,2018-12-31,144719,Jaume Munar,ESP,104620,Simone Bolelli,ITA,86,628,334,116
Pune,Hard,A,2018-12-31,104468,Gilles Simon,FRA,125802,Ilya Ivashka,BLR,55,955,131,422
Pune,Hard,A,2018-12-31,105332,Benoit Paire,FRA,106210,Jiri Vesely,CZE,24,1538,105,544
Pune,Hard,A,2018-12-31,104327,Steve Darcis,BEL,111581,Michael Mmoh,USA,157,332,218,227
Pune,Hard,A,2018-12-31,104291,Malek Jaziri,TUN,106368,Ramkumar Ramanathan,IND,201,251,174,293
Pune,Hard,A,2018-12-31,103333,Ivo Karlovic,CRO,105539,Evgeny Donskoy,RUS,95,586,112,497
Pune,Hard,A,2018-12-31,105208,Ernests Gulbis,LAT,111202,Hyeon Chung,KOR,226,216,128,428
Pune,Hard,A,2018-12-31,111513,Laslo Djere,SRB,111459,Arjun Kadhe,IND,38,1171,597,39
Pune,Hard,A,2018-12-31,104620,Simone Bolelli,ITA,104797,Denis Istomin,UZB,334,116,177,288
Pune,Hard,A,2018-12-31,144719,Jaume Munar,ESP,105430,Radu Albot,MDA,86,628,46,1067
Pune,Hard,A,2018-12-31,125802,Ilya Ivashka,BLR,128034,Hubert Hurkacz,POL,131,422,37,1198
Pune,Hard,A,2018-12-31,106210,Jiri Vesely,CZE,126156,Antoine Hoang,FRA,105,544,116,478
Pune,Hard,A,2018-12-31,105332,Benoit Paire,FRA,106329,Thiago Monteiro,BRA,24,1538,89,616
Pune,Hard,A,2018-12-31,104327,Steve Darcis,BEL,106148,Roberto Carballes Baena,ESP,157,332,80,664
Pune,Hard,A,2018-12-31,111581,Michael Mmoh,USA,105432,Prajnesh Gunneswaran,IND,218,227,124,442
Pune,Hard,A,2018-12-31,106368,Ramkumar Ramanathan,IND,104719,Marcel Granollers,ESP,174,293,111,497
Pune,Hard,A,2018-12-31,105539,Evgeny Donskoy,RUS,104665,Pablo Andujar,ESP,112,497,64,867
Pune,Hard,A,2018-12-31,103333,Ivo Karlovic,CRO,200000,Felix Auger Aliassime,CAN,95,586,21,1636
Pune,Hard,A,2018-12-31,105208,Ernests Gulbis,LAT,105155,Pedro Sousa,POR,226,216,140,376
Auckland,Hard,A,2019-01-07,105815,Tennys Sandgren,USA,111815,Cameron Norrie,GBR,68,803,53,975
Auckland,Hard,A,2019-01-07,111815,Cameron Norrie,GBR,105526,Jan Lennard Struff,GER,53,975,35,1245
Auckland,Hard,A,2019-01-07,105815,Tennys Sandgren,USA,104259,Philipp Kohlschreiber,GER,68,803,79,665
Auckland,Hard,A,2019-01-07,111815,Cameron Norrie,GBR,126203,Taylor Fritz,USA,53,975,32,1315
Auckland,Hard,A,2019-01-07,105526,Jan Lennard Struff,GER,105807,Pablo Carreno Busta,ESP,35,1245,27,1422
Auckland,Hard,A,2019-01-07,105815,Tennys Sandgren,USA,104919,Leonardo Mayer,ARG,68,803,92,603
Auckland,Hard,A,2019-01-07,104259,Philipp Kohlschreiber,GER,104926,Fabio Fognini,ITA,79,665,12,2290
Auckland,Hard,A,2019-01-07,126203,Taylor Fritz,USA,104545,John Isner,USA,32,1315,19,1770
Auckland,Hard,A,2019-01-07,111815,Cameron Norrie,GBR,105311,Joao Sousa,POR,53,975,60,891
Auckland,Hard,A,2019-01-07,105807,Pablo Carreno Busta,ESP,103970,David Ferrer,ESP,27,1422,0,0
Auckland,Hard,A,2019-01-07,105526,Jan Lennard Struff,GER,104907,Jose Rubin Statham,NZL,35,1245,689,28
Auckland,Hard,A,2019-01-07,104919,Leonardo Mayer,ARG,126610,Matteo Berrettini,ITA,92,603,8,2870
Auckland,Hard,A,2019-01-07,105815,Tennys Sandgren,USA,106065,Marco Cecchinato,ITA,68,803,71,780
Auckland,Hard,A,2019-01-07,104259,Philipp Kohlschreiber,GER,200005,Ugo Humbert,FRA,79,665,57,912
Auckland,Hard,A,2019-01-07,104926,Fabio Fognini,ITA,105376,Peter Gojowczyk,GER,12,2290,117,473
Auckland,Hard,A,2019-01-07,126203,Taylor Fritz,USA,105657,Marius Copil,ROU,32,1315,153,344
Auckland,Hard,A,2019-01-07,111815,Cameron Norrie,GBR,105332,Benoit Paire,FRA,53,975,24,1538
Auckland,Hard,A,2019-01-07,105311,Joao Sousa,POR,133430,Denis Shapovalov,CAN,60,891,15,2050
Auckland,Hard,A,2019-01-07,103970,David Ferrer,ESP,104898,Robin Haase,NED,0,0,162,316
Auckland,Hard,A,2019-01-07,105526,Jan Lennard Struff,GER,111513,Laslo Djere,SRB,35,1245,38,1171
Auckland,Hard,A,2019-01-07,104907,Jose Rubin Statham,NZL,111202,Hyeon Chung,KOR,689,28,128,428
Auckland,Hard,A,2019-01-07,104919,Leonardo Mayer,ARG,105449,Steve Johnson,USA,92,603,85,630
Auckland,Hard,A,2019-01-07,126610,Matteo Berrettini,ITA,111456,Mackenzie McDonald,USA,8,2870,129,425
Auckland,Hard,A,2019-01-07,105815,Tennys Sandgren,USA,109739,Maximilian Marterer,GER,68,803,239,198
Auckland,Hard,A,2019-01-07,200005,Ugo Humbert,FRA,104655,Pablo Cuevas,URU,57,912,45,1097
Auckland,Hard,A,2019-01-07,104259,Philipp Kohlschreiber,GER,105614,Bradley Klahn,USA,79,665,135,415
Auckland,Hard,A,2019-01-07,105376,Peter Gojowczyk,GER,105550,Guido Pella,ARG,117,473,25,1530
Sydney,Hard,A,2019-01-07,200282,Alex De Minaur,AUS,104312,Andreas Seppi,ITA,18,1775,72,776
Sydney,Hard,A,2019-01-07,104312,Andreas Seppi,ITA,106043,Diego Schwartzman,ARG,72,776,14,2125
Sydney,Hard,A,2019-01-07,200282,Alex De Minaur,AUS,104468,Gilles Simon,FRA,18,1775,55,955
Sydney,Hard,A,2019-01-07,104312,Andreas Seppi,ITA,126774,Stefanos Tsitsipas,GRE,72,776,6,5300
Sydney,Hard,A,2019-01-07,106043,Diego Schwartzman,ARG,106415,Yoshihito Nishioka,JPN,14,2125,73,764
Sydney,Hard,A,2019-01-07,104468,Gilles Simon,FRA,105357,John Millman,AUS,55,955,48,1026
Sydney,Hard,A,2019-01-07,200282,Alex De Minaur,AUS,111442,Jordan Thompson,AUS,18,1775,63,878
Sydney,Hard,A,2019-01-07,126774,Stefanos Tsitsipas,GRE,105819,Guido Andreozzi,ARG,6,5300,132,421
Sydney,Hard,A,2019-01-07,104312,Andreas Seppi,ITA,105373,Martin Klizan,SVK,72,776,141,373
Sydney,Hard,A,2019-01-07,106043,Diego Schwartzman,ARG,104198,Guillermo Garcia Lopez,ESP,14,2125,144,370
Sydney,Hard,A,2019-01-07,106415,Yoshihito Nishioka,JPN,126094,Andrey Rublev,RUS,73,764,23,1584
Sydney,Hard,A,2019-01-07,105357,John Millman,AUS,105916,Marton Fucsovics,HUN,48,1026,70,790
Sydney,Hard,A,2019-01-07,104468,Gilles Simon,FRA,105023,Sam Querrey,USA,55,955,44,1100
Sydney,Hard,A,2019-01-07,200282,Alex De Minaur,AUS,124187,Reilly Opelka,USA,18,1775,36,1243
Sydney,Hard,A,2019-01-07,111442,Jordan Thompson,AUS,106121,Taro Daniel,JPN,63,878,110,501
Sydney,Hard,A,2019-01-07,105819,Guido Andreozzi,ARG,105051,Matthew Ebden,AUS,132,421,244,195
Sydney,Hard,A,2019-01-07,105373,Martin Klizan,SVK,200615,Alexei Popyrin,AUS,141,373,97,585
Sydney,Hard,A,2019-01-07,104312,Andreas Seppi,ITA,104871,Jeremy Chardy,FRA,72,776,51,990
Sydney,Hard,A,2019-01-07,104198,Guillermo Garcia Lopez,ESP,106045,Denis Kudla,USA,144,370,113,491
Sydney,Hard,A,2019-01-07,106415,Yoshihito Nishioka,JPN,105992,Ryan Harrison,USA,73,764,302,131
Sydney,Hard,A,2019-01-07,126094,Andrey Rublev,RUS,106298,Lucas Pouille,FRA,23,1584,22,1600
Sydney,Hard,A,2019-01-07,105916,Marton Fucsovics,HUN,105902,James Duckworth,AUS,70,790,100,576
Sydney,Hard,A,2019-01-07,105357,John Millman,AUS,126207,Frances Tiafoe,USA,48,1026,47,1050
Sydney,Hard,A,2019-01-07,105023,Sam Querrey,USA,104291,Malek Jaziri,TUN,44,1100,201,251
Sydney,Hard,A,2019-01-07,200282,Alex De Minaur,AUS,105583,Dusan Lajovic,SRB,18,1775,34,1296
Sydney,Hard,A,2019-01-07,124187,Reilly Opelka,USA,105077,Albert Ramos,ESP,36,1243,41,1130
Sydney,Hard,A,2019-01-07,111442,Jordan Thompson,AUS,105173,Adrian Mannarino,FRA,63,878,43,1111
Australian Open,Hard,G,2019-01-14,104925,Novak Djokovic,SRB,104745,Rafael Nadal,ESP,2,9145,1,9985
Australian Open,Hard,G,2019-01-14,126774,Stefanos Tsitsipas,GRE,103819,Roger Federer,SUI,6,5300,3,6590
Australian Open,Hard,G,2019-01-14,105683,Milos Raonic,CAN,100644,Alexander Zverev,GER,31,1350,7,3345
Australian Open,Hard,G,2019-01-14,126207,Frances Tiafoe,USA,104731,Kevin Anderson,RSA,47,1050,91,610
Australian Open,Hard,G,2019-01-14,105138,Roberto Bautista Agut,ESP,105227,Marin Cilic,CRO,9,2540,39,1165
Australian Open,Hard,G,2019-01-14,200615,Alexei Popyrin,AUS,106233,Dominic Thiem,AUT,97,585,4,5825
Australian Open,Hard,G,2019-01-14,104925,Novak Djokovic,SRB,105453,Kei Nishikori,JPN,2,9145,13,2180
Australian Open,Hard,G,2019-01-14,124187,Reilly Opelka,USA,104545,John Isner,USA,36,1243,19,1770
Australian Open,Hard,G,2019-01-14,105138,Roberto Bautista Agut,ESP,111575,Karen Khachanov,RUS,9,2540,17,1840
Australian Open,Hard,G,2019-01-14,106298,Lucas Pouille,FRA,106432,Borna Coric,CRO,22,1600,28,1415
Australian Open,Hard,G,2019-01-14,105807,Pablo Carreno Busta,ESP,104926,Fabio Fognini,ITA,27,1422,12,2290
Australian Open,Hard,G,2019-01-14,104607,Tomas Berdych,CZE,106378,Kyle Edmund,GBR,0,0,69,800
Australian Open,Hard,G,2019-01-14,104745,Rafael Nadal,ESP,126774,Stefanos Tsitsipas,GRE,1,9985,6,5300
Australian Open,Hard,G,2019-01-14,104925,Novak Djokovic,SRB,106421,Daniil Medvedev,RUS,2,9145,5,5705
Australian Open,Hard,G,2019-01-14,106298,Lucas Pouille,FRA,105683,Milos Raonic,CAN,22,1600,31,1350
Australian Open,Hard,G,2019-01-14,105936,Filip Krajinovic,SRB,106065,Marco Cecchinato,ITA,40,1148,71,780
Australian Open,Hard,G,2019-01-14,104607,Tomas Berdych,CZE,106043,Diego Schwartzman,ARG,0,0,14,2125
Australian Open,Hard,G,2019-01-14,126774,Stefanos Tsitsipas,GRE,105932,Nikoloz Basilashvili,GEO,6,5300,26,1450
Australian Open,Hard,G,2019-01-14,126207,Frances Tiafoe,USA,105777,Grigor Dimitrov,BUL,47,1050,20,1747
Australian Open,Hard,G,2019-01-14,106421,Daniil Medvedev,RUS,105676,David Goffin,BEL,5,5705,11,2335
Australian Open,Hard,G,2019-01-14,126774,Stefanos Tsitsipas,GRE,105138,Roberto Bautista Agut,ESP,6,5300,9,2540
Australian Open,Hard,G,2019-01-14,105453,Kei Nishikori,JPN,105807,Pablo Carreno Busta,ESP,13,2180,27,1422
Australian Open,Hard,G,2019-01-14,105732,Pierre Hugues Herbert,FRA,111202,Hyeon Chung,KOR,65,865,128,428
Australian Open,Hard,G,2019-01-14,104925,Novak Djokovic,SRB,133430,Denis Shapovalov,CAN,2,9145,15,2050
