id,name,state,rank,points
105992,Ryan Harrison,USA,62,810
111577,Jared Donaldson,USA,111,520
104797,Denis Istomin,UZB,92,622
200282,Alex De Minaur,AUS,31,1298
111581,Michael Mmoh,USA,103,563
104999,Mischa Zverev,GER,69,750
105238,Alexandr Dolgopolov,UKR,260,165
104547,Horacio Zeballos,ARG,173,300
105051,Matthew Ebden,AUS,46,1001
111202,Hyeon Chung,KOR,25,1585
106378,Kyle Edmund,GBR,14,2150
105357,John Millman,AUS,38,1083
106401,Nick Kyrgios,AUS,35,1125
105777,Grigor Dimitrov,BUL,19,1835
106432,Borna Coric,CRO,12,2480
105932,Nikoloz Basilashvili,GEO,21,1795
126094,Andrey Rublev,RUS,68,760
104269,Fernando Verdasco,ESP,28,1410
105550,Guido Pella,ARG,58,860
105882,Stefano Travaglia,ITA,133,426
105806,Mirza Basic,BIH,87,636
103852,Feliciano Lopez,ESP,64,795
105376,Peter Gojowczyk,GER,59,855
126610,Matteo Berrettini,ITA,54,932
104792,Gael Monfils,FRA,29,1400
105526,Jan Lennard Struff,GER,57,875
104755,Richard Gasquet,FRA,26,1535
126774,Stefanos Tsitsipas,GRE,15,2095
105379,Aljaz Bedene,SLO,67,780
106233,Dominic Thiem,AUT,8,4095
106329,Thiago Monteiro,BRA,120,475
111513,Laslo Djere,SRB,93,621
105062,Mikhail Kukushkin,KAZ,53,935
105916,Marton Fucsovics,HUN,36,1122
111797,Nicolas Jarry,CHI,43,1022
104898,Robin Haase,NED,50,965
106120,Ricardo Ojeda Lara,ESP,272,146
125802,Ilya Ivashka,BLR,91,622
104468,Gilles Simon,FRA,30,1370
105732,Pierre Hugues Herbert,FRA,55,903
106026,Yuki Bhambri,IND,137,420
106368,Ramkumar Ramanathan,IND,132,433
104731,Kevin Anderson,RSA,6,4710
105332,Benoit Paire,FRA,52,935
105227,Marin Cilic,CRO,7,4250
133430,Denis Shapovalov,CAN,27,1440
111575,Karen Khachanov,RUS,11,2835
104655,Pablo Cuevas,URU,88,630
105311,Joao Sousa,POR,44,1017
103970,David Ferrer,ESP,125,460
105138,Roberto Bautista Agut,ESP,24,1605
105449,Steve Johnson,USA,33,1190
106210,Jiri Vesely,CZE,89,629
105041,Lukas Lacko,SVK,114,514
105223,Juan Martin del Potro,ARG,5,5300
104919,Leonardo Mayer,ARG,56,895
106000,Damir Dzumhur,BIH,47,985
105173,Adrian Mannarino,FRA,42,1045
105575,Ricardas Berankis,LTU,116,507
106421,Daniil Medvedev,RUS,16,1977
103893,Paolo Lorenzi,ITA,109,525
104180,Gilles Muller,LUX,138,413
104926,Fabio Fognini,ITA,13,2315
104745,Rafael Nadal,ESP,2,7480
106043,Diego Schwartzman,ARG,17,1880
134770,Casper Ruud,NOR,112,518
105807,Pablo Carreno Busta,ESP,23,1705
104291,Malek Jaziri,TUN,45,1014
111456,Mackenzie McDonald,USA,78,688
104571,Marcos Baghdatis,CYP,124,460
104678,Viktor Troicki,SRB,205,247
104542,Jo-Wilfried Tsonga,FRA,239,200
105074,Ruben Bemelmans,BEL,117,496
106415,Yoshihito Nishioka,JPN,75,701
104312,Andreas Seppi,ITA,37,1106
103333,Ivo Karlovic,CRO,100,589
105216,Yuichi Sugita,JPN,145,370
106045,Denis Kudla,USA,63,810
109739,Maximilian Marterer,GER,74,706
105815,Tennys Sandgren,USA,61,814
104527,Stan Wawrinka,SUI,66,785
104925,Novak Djokovic,SRB,1,9045
105065,Tim Smyczek,USA,164,318
105077,Albert Ramos,ESP,65,790
100644,Alexander Zverev,GER,4,6385
105676,David Goffin,BEL,22,1785
103898,Julien Benneteau,FRA,0,0
105539,Evgeny Donskoy,RUS,97,594
104607,Tomas Berdych,CZE,71,715
104198,Guillermo Garcia Lopez,ESP,105,543
105023,Sam Querrey,USA,51,955
106044,Nicolas Kicker,ARG,178,285
132283,Lorenzo Sonego,ITA,107,532
103819,Roger Federer,SUI,3,6420
105589,Gerald Melzer,AUT,244,192
110602,Dennis Novak,AUT,140,387
105933,Roberto Quiroz,ECU,181,281
104907,Jose Rubin Statham,NZL,373,48
105585,Ze Zhang,CHN,208,246
200059,Yibing Wu,CHN,306,105
123755,Daniel Elahi Galan,COL,221,224
105292,Alejandro Gonzalez,COL,312,98
105578,Cristian Rodriguez,COL,422,25
105497,Jose Hernandez,DOM,267,152
106252,Joao Pedro Sorgi,BRA,625,3
103529,Aisam Ul Haq Qureshi,PAK,0,0
103499,Aqeel Khan,PAK,0,0
120792,M Abid Ali Khan Akbar,PAK,0,0
144750,Lloyd Harris,RSA,127,458
104534,Dudi Sela,ISR,236,205
122548,Edan Leshem,ISR,450,19
144707,Mikael Ymer,SWE,255,170
111200,Elias Ymer,SWE,115,511
104660,Sergiy Stakhovsky,UKR,134,424
105217,Thiemo De Bakker,NED,242,199
111815,Cameron Norrie,GBR,90,627
200436,Zsombor Piros,HUN,338,67
122078,Dmitry Popko,KAZ,351,59
144817,Marc Andrea Huesler,SUI,371,48
104545,John Isner,USA,10,3155
106353,Pedja Krstin,SRB,171,305
105935,Duilio Beretta,PER,0,0
122669,Juan Pablo Varillas,PER,350,60
106410,Jorge Brian Panta Herreros,PER,0,0
126502,Luis Diego Chavez Villalpando,ESP,0,0
105633,Mohamed Safwat,EGY,184,276
105747,Karim Mohamed Maamoun,EGY,438,21
126174,Youssef Hossam,EGY,406,29
105656,Marcelo Arevalo,ESA,220,225
127570,Rodrigo Arus,URU,0,0
105827,Laurynas Grigelis,LTU,287,134
105132,Jurgen Zopp,EST,143,372
104467,Lamine Ouahab,ALG,441,20
144760,Amine Ahouda,MAR,0,0
138845,Anthony Jackie Tang,HKG,0,0
138846,Hong Kit Jack Wong,HKG,653,1
134217,Skyler Butts,HKG,0,0
104233,Frederik Nielsen,DEN,433,23
126530,Peter Bothwell,IRL,608,3
126526,Soren Hess Olesen,DEN,0,0
133975,Benjamin Hassan,GER,375,47
200273,Hady Habib,LIB,0,0
202358,Chun Hsin Tseng,TPE,486,13
104251,Ti Chen,TPE,502,11
202165,Alberto Lim,PHI,0,0
105812,David Agung Susanto,INA,0,0
200460,John Bryan Decasa Otico,PHI,0,0
105688,Manuel Sanchez,MEX,479,14
106250,Luis Patino,MEX,569,6
111167,Ugo Nastasi,LUX,0,0
105657,Marius Copil,ROU,60,823
126613,Bogdan Borza,ROU,0,0
111794,Kamil Majchrzak,POL,177,293
128034,Hubert Hurkacz,POL,86,636
134886,Sharmal Dissanayake,SRI,0,0
106397,Wishaya Trongcharoenchaikul,THA,419,26
127143,Jirat Navasirisomboon,THA,0,0
200325,Emil Ruusuvuori,FIN,385,41
105349,Harri Heliovaara,FIN,376,46
111761,Benjamin Lock,ZIM,554,7
105626,Takanyi Garanganga,ZIM,435,22
124126,Sarp Agabigun,TUR,0,0
106175,Ricardo Rodriguez,VEN,612,3
105499,Christopher Diaz Figueroa,GUA,0,0
126535,Carlos Taberner,ESP,283,135
103917,Nicolas Mahut,FRA,190,270
104871,Jeremy Chardy,FRA,40,1050
106298,Lucas Pouille,FRA,32,1245
103607,Victor Estrella,DOM,278,138
105561,Alessandro Giannessi,ITA,160,332
106148,Roberto Carballes Baena,ESP,73,714
144895,Corentin Moutet,FRA,144,372
105413,Andrej Martin,SVK,183,277
106075,Jozef Kovalik,SVK,85,638
104882,Blaz Kavcic,SLO,206,246
105373,Martin Klizan,SVK,41,1050
105643,Federico Delbonis,ARG,80,678
105671,Gastao Elias,POR,263,159
105064,Thomaz Bellucci,BRA,225,222
105583,Dusan Lajovic,SRB,48,985
104022,Mikhail Youzhny,RUS,0,0
104629,Adrian Menendez Maceiras,ESP,129,442
105453,Kei Nishikori,JPN,9,3590
105430,Radu Albot,MDA,98,592
126207,Frances Tiafoe,USA,39,1080
124014,Ernesto Escobedo,USA,187,272
105936,Filip Krajinovic,SRB,94,620
134868,Tallon Griekspoor,NED,231,215
104259,Philipp Kohlschreiber,GER,34,1125
105015,Franko Skugor,CRO,357,57
126203,Taylor Fritz,USA,49,974
