tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,winner_rank,winner_points,loser_rank,loser_points
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104745,Rafael Nadal,ESP,1,12030,2,9850
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,105583,Dusan Lajovic,SRB,13,2710,26,1785
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,106421,Daniil Medvedev,RUS,1,12030,4,8470
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,111575,Karen Khachanov,RUS,26,1785,20,2245
Atp Cup,Hard,A,2020-01-06,104745,Rafael Nadal,ESP,200282,Alex De Minaur,AUS,2,9850,23,1860
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,106401,Nick Kyrgios,AUS,13,2710,45,1170
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,133430,Denis Shapovalov,CAN,1,12030,12,2830
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,200000,Felix Auger Aliassime,CAN,26,1785,21,2216
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,106043,Diego Schwartzman,ARG,4,8470,9,3455
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,105550,Guido Pella,ARG,20,2245,43,1310
Atp Cup,Hard,A,2020-01-06,105554,Daniel Evans,GBR,200282,Alex De Minaur,AUS,32,1589,23,1860
Atp Cup,Hard,A,2020-01-06,106401,Nick Kyrgios,AUS,111815,Cameron Norrie,GBR,45,1170,71,877
Atp Cup,Hard,A,2020-01-06,105676,David Goffin,BEL,104745,Rafael Nadal,ESP,15,2555,2,9850
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,106293,Kimmer Coppejans,BEL,13,2710,177,361
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104792,Gael Monfils,FRA,1,12030,11,2860
