tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104745,Rafael Nadal,ESP
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,105583,Dusan Lajovic,SRB
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,106421,Daniil Medvedev,RUS
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,111575,Karen Khachanov,RUS
Atp Cup,Hard,A,2020-01-06,104745,Rafael Nadal,ESP,200282,Alex De Minaur,AUS
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,106401,Nick Kyrgios,AUS
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,133430,Denis Shapovalov,CAN
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,200000,Felix Auger Aliassime,CAN
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,106043,Diego Schwartzman,ARG
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,105550,Guido Pella,ARG
Atp Cup,Hard,A,2020-01-06,105554,Daniel Evans,GBR,200282,Alex De Minaur,AUS
Atp Cup,Hard,A,2020-01-06,106401,Nick Kyrgios,AUS,111815,Cameron Norrie,GBR
Atp Cup,Hard,A,2020-01-06,105676,David Goffin,BEL,104745,Rafael Nadal,ESP
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,106293,Kimmer Coppejans,BEL
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104792,Gael Monfils,FRA
Atp Cup,Hard,A,2020-01-06,105332,Benoit Paire,FRA,105583,Dusan Lajovic,SRB
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104731,Kevin Anderson,RSA
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,144750,Lloyd Harris,RSA
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,106426,Christian Garin,CHI
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,111797,Nicolas Jarry,CHI
Atp Cup,Hard,A,2020-01-06,104731,Kevin Anderson,RSA,105332,Benoit Paire,FRA
